fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,current_rank,rank_flag,current_p4p,p4p_flag,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result,next_date,next_opp
Julia Polastri,1998-03-05,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's strawweight,16,NA,16,NA,16,16,5,2,1 KO 0 Sub 1 Dec,3,0 KO 0 Sub 3 Dec,-1,1,1,10.8,2532,2611,2633,2024-06-15,L - Josefine Knutsson,2026-04-25,L - Talita Alencar,NA,NA
Francisco Prado,2002-06-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Argentina,male,welterweight,16,NA,16,NA,16,16,6,1,1 KO 0 Sub 0 Dec,5,0 KO 0 Sub 5 Dec,-4,1,2,6.7,2530,2686,2789,2023-02-11,L - Jamie Mullarkey,2026-04-11,L - Charles Radtke,NA,NA
Damir Hadzovic,1986-08-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Bosnia and Herzegovina, Denmark",male,lightweight,16,NA,16,NA,16,16,10,4,2 KO 0 Sub 2 Dec,6,2 KO 1 Sub 3 Dec,-2,2,1,8.2,2528,2779,2746,2016-04-10,L - Mairbek Taisumov,2025-02-01,L - Terrance McKinney,NA,NA
Ramon Taveras,1994-01-09,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,NA,16,NA,16,16,3,1,0 KO 0 Sub 1 Dec,2,0 KO 0 Sub 2 Dec,-2,1,0,7.7,2525,2643,2753,2024-01-20,W - Serhiy Sidey,2025-09-28,L - Jack Jenkins,NA,NA
Dennis Buzukja,1997-10-01,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"featherweight, lightweight",16,NA,16,NA,16,16,5,1,1 KO 0 Sub 0 Dec,4,2 KO 0 Sub 2 Dec,-2,1,1,9.4,2523,2649,2648,2023-08-05,L - Sean Woodson,2026-04-18,L - Marcio Barbosa,2026-08-01,Bogdan Grad
Lucas Brennan,2000-06-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,-1,0,11,2522,2522,2669,2026-04-25,L - Francis Marshall,2026-04-25,L - Francis Marshall,NA,NA
Billy Ray Goff,1998-06-18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,NA,16,NA,16,16,3,1,1 KO 0 Sub 0 Dec,2,0 KO 1 Sub 1 Dec,-2,1,1,7.7,2518,2727,2556,2023-08-26,W - Yusaku Kinoshita,2025-05-31,L - Ramiz Brahimaj,NA,NA
Alice Pereira,2005-12-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's bantamweight,16,NA,16,NA,16,16,2,1,1 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,1,1,1,11.5,2517,2517,2372,2025-09-13,L - Montserrat Rendon,2026-04-04,W - Hailey Cowan,NA,NA
Elise Reed,1992-12-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,female,women's strawweight,16,NA,16,NA,16,16,9,4,0 KO 0 Sub 4 Dec,5,3 KO 2 Sub 0 Dec,-1,1,0,10,2516,2567,2569,2021-07-24,L - Sijara Eubanks,2025-05-17,L - Denise Gomes,NA,NA
Mitch Ramirez,1992-11-03,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,NA,16,NA,16,16,2,0,0 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,-2,-1,0,11.5,2514,2547,2806,2024-03-16,L - Thiago Moises,2025-07-12,L - Mike Davis,2026-07-18,Chase Hooper
